,Coupling
0,-0.031587367924409936
1,-0.02813192704932173
2,-0.029607077389372436
3,-0.029777916406597136
4,-0.029074238936198017
5,-0.035031802280770546
6,-0.06993036708349296
7,-0.078213013658942
8,-0.1007167426978514
9,-0.021890275498371838
10,0.017559316353373794
11,0.039588605043717806
12,-0.04656510661601646
13,-0.06409889164712262
14,-0.07516574054682333
15,-0.06844095462055644
16,-0.06549303253129199
17,-0.0639908655084018
18,-0.0974808792168416
19,-0.13296305378215398
20,-0.06680249602264894
21,-0.05857474888261585
22,-0.04593354760553072
23,-0.03558377627434068
24,-0.03409997876734886
25,-0.02874835332915131
26,-0.030667542271360988
27,-0.030391474146736718
28,-0.029382526220235763
29,-0.032859219488747746
30,-0.0736404014402901
31,-0.08188650681522716
32,-0.10475046195860484
33,-0.06323738135366076
34,-0.0746238772821149
35,-0.07847331152070341
36,-0.10187383915616027
37,-0.07397331716147977
38,-0.07342703912413638
39,-0.06660463754573011
40,-0.06364883955256638
41,-0.06379744137184606
42,-0.0985407549253397
43,-0.13440234885700095
44,-0.06683982426777346
45,-0.05805813465903448
46,-0.04628579442902324
47,-0.0357852122146423
48,-0.032520907414203194
49,-0.029214940200214326
50,-0.030597431119997912
51,-0.03066669601557804
52,-0.03077237292767715
53,-0.03326354006586686
54,-0.06984407484795717
55,-0.08157227116092595
56,-0.10497040289876644
57,-0.036767970750087475
58,-0.07818293122272213
59,-0.054881094315772976
60,-0.09899037333765369
61,-0.06868102839716293
62,-0.07283727399210516
63,-0.0667256380039875
64,-0.0662458111983765
65,-0.06532101991300207
66,-0.0949456340954188
67,-0.12300509957870095
68,-0.06794534375796925
69,-0.06254284896364254
70,-0.04419717755351682
71,-0.03816015801719857
72,-0.033828067229148696
73,-0.030409063652473933
74,-0.03181560093781855
75,-0.031975963938942475
76,-0.031332433884837564
77,-0.03577844705559476
78,-0.08729648195604875
79,-0.0882264625017341
80,-0.108103474433627
81,-0.04295345768237416
82,-0.01908528020909074
83,-0.03664048058945005
84,-0.1036487303552852
85,-0.0758906359075094
86,-0.046660194368535204
87,-0.06722339943848414
88,-0.06518888520681618
89,-0.06502426963904864
90,-0.0993645434132846
91,-0.13048028715626206
92,-0.06864500111674421
93,-0.05930689459055385
94,-0.04406279150422123
95,-0.03706531427794768
96,-0.03427285912125252
97,-0.03048665091978358
98,-0.030812467378656002
99,-0.03196797598473562
100,-0.032288857452102776
101,-0.035898995178128015
102,-0.08077248517644531
103,-0.08329722780206802
104,-0.10056961415056744
105,-0.0722152541670224
106,-0.06385747762306998
107,-0.06240674853299824
108,-0.09907195649332866
109,-0.06716174218534486
110,-0.0549253588721212
111,-0.055718719374988616
112,-0.05661712593597296
113,-0.06373570446122423
114,-0.09814540497544916
115,-0.12872489656564476
116,-0.06846711760461721
117,-0.06047834664209729
118,-0.04478825525967746
119,-0.03841783878878173
120,-0.03931009386026817
121,-0.035448506371311334
122,-0.03564780037847304
123,-0.036597733810083896
124,-0.036607033976319286
125,-0.03980288541415092
126,-0.0811698868729445
127,-0.061456873122091187
128,-0.07423741171463942
129,-0.036923155405852434
130,-0.04242125236829199
131,-0.041640378176088406
132,-0.0679518758821343
133,-0.04245645396244529
134,-0.03867865839995528
135,-0.03857860281260317
136,-0.03770497683201785
137,-0.04497689930360727
138,-0.07705172038972162
139,-0.10992414032401124
140,-0.06195009617729541
141,-0.04681486914085574
142,-0.04318169730207271
143,-0.03940885669829322
144,-0.035139993594635065
145,-0.032288767333475216
146,-0.0336409413563942
147,-0.03380639000496615
148,-0.03306874163584292
149,-0.037086861447129166
150,-0.07976070396296571
151,-0.08848390613688496
152,-0.10762098069307048
153,-0.09097148370187168
154,-0.08871895958829704
155,-0.08593479360155074
156,-0.11028970430578973
157,-0.08645680991250837
158,-0.0839780235323923
159,-0.07881272584527903
160,-0.07497786220063174
161,-0.07226112495741432
162,-0.104320757471094
163,-0.1338584152086169
164,-0.07072888326289573
165,-0.06099172705716303
166,-0.04658190100316265
167,-0.037941130469693406
168,-0.03451068301262448
169,-0.031146159208029482
170,-0.03273085756188086
171,-0.032769924644136014
172,-0.03201514240100368
173,-0.035840206682872015
174,-0.08137402771842278
175,-0.08883701919856682
176,-0.1098929230714604
177,-0.020594995830501978
178,0.02225945043148167
179,-0.06840346859630601
180,-0.07469292299143443
181,-0.07538807476342646
182,-0.0826391265364662
183,-0.07545810053163046
184,-0.07226495654557823
185,-0.0703891462814902
186,-0.10140449101191083
187,-0.13532856413336805
188,-0.06704250337924307
189,-0.058782236579628326
190,-0.04325202452860765
191,-0.03651629975012415
192,-0.033322638306803626
193,-0.030198658768394362
194,-0.03112309793355812
195,-0.03099092369324865
196,-0.03017377413105413
197,-0.033754883850074496
198,-0.06716136420065283
199,-0.08136562752600696
200,-0.10118189743270987
201,-0.07436094836086642
202,-0.06820133510828254
203,-0.06547708533550341
204,-0.09720825240254845
205,-0.07383056778024992
206,-0.07730408226106004
207,-0.06982380833516984
208,-0.06732318952316195
209,-0.06601139811422274
210,-0.09842100129762184
211,-0.130045832265424
212,-0.06308968879079767
213,-0.05755978444026241
214,-0.042644330872213074
215,-0.037105748911890016
216,-0.031300769078125415
217,-0.028020638183956715
218,-0.029482498414490712
219,-0.031110171904649882
220,-0.028772130049400137
221,-0.033071890079719814
222,-0.07012428732909738
223,-0.07686356194005299
224,-0.100421042540944
225,-0.07074796373526276
226,-0.06950739554942519
227,-0.07006027534618266
228,-0.08760610373987418
229,-0.048697406961157166
230,-0.07332208777432195
231,-0.06796274256133576
232,-0.0653765669597347
233,-0.06415130679428735
234,-0.09917354901696332
235,-0.1306014134702199
236,-0.06444329323839268
237,-0.06247246030476489
238,-0.04343304287148121
239,-0.03577734988786952
240,-0.033501506371834085
241,-0.028694497063697432
242,-0.030159796045897694
243,-0.031598304552654284
244,-0.029434673964818737
245,-0.03329864401160512
246,-0.07138039712873219
247,-0.0788279486980952
248,-0.10046973249179876
249,-0.07082097937417035
250,-0.06575350436904498
251,-0.05613023286349794
252,-0.08801716834710024
253,-0.050856086721839666
254,-0.05746336878227036
255,-0.06231248437318102
256,-0.06182105403937864
257,-0.060522154250166
258,-0.09632096234432236
259,-0.1338071831289743
260,-0.062206160293161374
261,-0.05714029780234716
262,-0.042246958317781434
263,-0.03831960211714891
264,-0.03140711255390888
