,Hour,Day,Month,Electricity [MWh],PV [MWh],Price,Peak,CO2
0,0,1,January,0.031587367924409936,0.0,0.2187,Off-Peak,396.54204133144026
1,1,1,January,0.028131927049321732,0.0,0.2187,Off-Peak,363.40116737655785
2,2,1,January,0.029607077389372436,0.0,0.2187,Off-Peak,345.35415680706734
3,3,1,January,0.029777916406597136,0.0,0.2187,Off-Peak,331.5728032812746
4,4,1,January,0.029074238936198017,0.0,0.2187,Off-Peak,327.143082505127
5,5,1,January,0.035031802280770546,0.0,0.2187,Off-Peak,327.79933743492666
6,6,1,January,0.06993036708349296,0.0,0.2324,Peak,334.5259504653731
7,7,1,January,0.078213013658942,0.0,0.2324,Peak,366.02618709575637
8,8,1,January,0.1007167426978514,0.0,0.2324,Peak,380.62785928379867
9,9,1,January,0.08175628182519047,0.059866006326818634,0.2324,Peak,382.10443287584786
10,10,1,January,0.07848623273615607,0.09604554908952986,0.2324,Peak,376.69032970500086
11,11,1,January,0.07682940175186431,0.11641800679558212,0.2324,Peak,375.5418835778514
12,12,1,January,0.10349888076590756,0.0569337741498911,0.2324,Peak,377.18252090235046
13,13,1,January,0.07958929724850687,0.01549040560138424,0.2324,Peak,372.424672661303
14,14,1,January,0.07520163331572426,3.5892768900931675e-05,0.2324,Peak,377.18252090235046
15,15,1,January,0.06844095462055644,0.0,0.2324,Peak,388.0107272440448
16,16,1,January,0.06549303253129199,0.0,0.2324,Peak,403.9249092916864
17,17,1,January,0.0639908655084018,0.0,0.2324,Peak,425.9094494399748
18,18,1,January,0.0974808792168416,0.0,0.2324,Peak,448.2221170531629
19,19,1,January,0.13296305378215398,0.0,0.2324,Peak,460.8550244518063
20,20,1,January,0.06680249602264894,0.0,0.2324,Peak,463.3159804385549
21,21,1,January,0.05857474888261585,0.0,0.2324,Peak,458.23000473260765
22,22,1,January,0.04593354760553072,0.0,0.2324,Peak,450.19088184256185
23,23,1,January,0.03558377627434068,0.0,0.2187,Off-Peak,427.22195929957405
24,0,2,January,0.03409997876734886,0.0,0.2187,Off-Peak,396.54204133144026
25,1,2,January,0.02874835332915131,0.0,0.2187,Off-Peak,363.40116737655785
26,2,2,January,0.030667542271360988,0.0,0.2187,Off-Peak,345.35415680706734
27,3,2,January,0.030391474146736718,0.0,0.2187,Off-Peak,331.5728032812746
28,4,2,January,0.029382526220235763,0.0,0.2187,Off-Peak,327.143082505127
29,5,2,January,0.032859219488747746,0.0,0.2187,Off-Peak,327.79933743492666
